county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,US Senator,,R,"CARROLL, John",1,1,6,8
County of Hawaii,01-01,US Senator,,R,"COLLINS, Charles Augustine",2,0,1,3
County of Hawaii,01-01,US Senator,,R,"LINGLE, Linda",34,6,56,96
County of Hawaii,01-01,US Senator,,R,"PIRKOWSKI, Eddie",2,0,2,4
County of Hawaii,01-01,US Senator,,R,"ROCO, John P.",0,0,0,0
County of Hawaii,01-01,US Senator,,N,"BEASLEY, Heath",1,0,5,6
County of Hawaii,01-01,US Senator,,D,"CASE, Ed",181,28,192,401
County of Hawaii,01-01,US Senator,,D,"GILLESPIE, Michael D.",1,0,1,2
County of Hawaii,01-01,US Senator,,D,"GIMBERNAT, Antonio",1,0,3,4
County of Hawaii,01-01,US Senator,,D,"HIRONO, Mazie",304,48,312,664
County of Hawaii,01-01,US Senator,,D,"REYES, Arturo Pacheco (Art)",5,0,3,8
County of Hawaii,01-01,US Representative,2,R,"CROWLEY, Kawika",13,3,30,46
County of Hawaii,01-01,US Representative,2,R,"DiGERONIMO, Matthew",12,4,14,30
County of Hawaii,01-01,US Representative,2,D,"DEL CASTILLO, Rafael",1,0,5,6
County of Hawaii,01-01,US Representative,2,D,"GABBARD, Tulsi",231,38,297,566
County of Hawaii,01-01,US Representative,2,D,"HANNEMANN, Mufi",211,29,155,395
County of Hawaii,01-01,US Representative,2,D,"KIA'AINA, Esther",20,3,15,38
County of Hawaii,01-01,US Representative,2,D,"MARX, Bob",20,8,32,60
County of Hawaii,01-01,US Representative,2,D,"SHIRATORI, Miles",2,0,1,3
County of Hawaii,01-01,State Senate,4,G,"GREENWELL, Kelly",0,0,3,3
County of Hawaii,01-01,State Senate,4,D,"INOUYE, Lorraine Rodero",261,33,259,553
County of Hawaii,01-01,State Senate,4,D,"SOLOMON, Malama",213,44,220,477
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",388,60,347,795
County of Hawaii,01-01,State Representative,1,D,"PAJIMOLA, Noralyn Bolosan",91,16,144,251
County of Hawaii,01-02,US Senator,,R,"CARROLL, John",0,0,0,0
County of Hawaii,01-02,US Senator,,R,"COLLINS, Charles Augustine",0,0,0,0
County of Hawaii,01-02,US Senator,,R,"LINGLE, Linda",7,2,11,20
County of Hawaii,01-02,US Senator,,R,"PIRKOWSKI, Eddie",0,0,0,0
County of Hawaii,01-02,US Senator,,R,"ROCO, John P.",1,1,1,3
County of Hawaii,01-02,US Senator,,N,"BEASLEY, Heath",1,0,1,2
County of Hawaii,01-02,US Senator,,D,"CASE, Ed",77,15,69,161
County of Hawaii,01-02,US Senator,,D,"GILLESPIE, Michael D.",1,0,1,2
County of Hawaii,01-02,US Senator,,D,"GIMBERNAT, Antonio",2,0,1,3
County of Hawaii,01-02,US Senator,,D,"HIRONO, Mazie",99,25,131,255
County of Hawaii,01-02,US Senator,,D,"REYES, Arturo Pacheco (Art)",0,0,2,2
County of Hawaii,01-02,US Representative,2,R,"CROWLEY, Kawika",3,2,7,12
County of Hawaii,01-02,US Representative,2,R,"DiGERONIMO, Matthew",4,0,4,8
County of Hawaii,01-02,US Representative,2,D,"DEL CASTILLO, Rafael",1,0,2,3
County of Hawaii,01-02,US Representative,2,D,"GABBARD, Tulsi",77,19,107,203
County of Hawaii,01-02,US Representative,2,D,"HANNEMANN, Mufi",84,19,62,165
County of Hawaii,01-02,US Representative,2,D,"KIA'AINA, Esther",8,1,18,27
County of Hawaii,01-02,US Representative,2,D,"MARX, Bob",8,2,14,24
County of Hawaii,01-02,US Representative,2,D,"SHIRATORI, Miles",0,0,1,1
County of Hawaii,01-02,State Senate,4,G,"GREENWELL, Kelly",1,0,0,1
County of Hawaii,01-02,State Senate,4,D,"INOUYE, Lorraine Rodero",83,22,111,216
County of Hawaii,01-02,State Senate,4,D,"SOLOMON, Malama",91,19,87,197
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",139,30,135,304
County of Hawaii,01-02,State Representative,1,D,"PAJIMOLA, Noralyn Bolosan",32,9,60,101
County of Hawaii,01-03,US Senator,,R,"CARROLL, John",2,0,3,5
County of Hawaii,01-03,US Senator,,R,"COLLINS, Charles Augustine",0,0,0,0
County of Hawaii,01-03,US Senator,,R,"LINGLE, Linda",19,0,13,32
County of Hawaii,01-03,US Senator,,R,"PIRKOWSKI, Eddie",2,0,0,2
County of Hawaii,01-03,US Senator,,R,"ROCO, John P.",1,0,0,1
County of Hawaii,01-03,US Senator,,N,"BEASLEY, Heath",0,0,1,1
County of Hawaii,01-03,US Senator,,D,"CASE, Ed",58,8,65,131
County of Hawaii,01-03,US Senator,,D,"GILLESPIE, Michael D.",1,0,0,1
County of Hawaii,01-03,US Senator,,D,"GIMBERNAT, Antonio",0,0,0,0
County of Hawaii,01-03,US Senator,,D,"HIRONO, Mazie",128,14,124,266
County of Hawaii,01-03,US Senator,,D,"REYES, Arturo Pacheco (Art)",4,0,2,6
County of Hawaii,01-03,US Representative,2,R,"CROWLEY, Kawika",8,0,8,16
County of Hawaii,01-03,US Representative,2,R,"DiGERONIMO, Matthew",10,0,5,15
County of Hawaii,01-03,US Representative,2,D,"DEL CASTILLO, Rafael",1,0,0,1
County of Hawaii,01-03,US Representative,2,D,"GABBARD, Tulsi",83,7,107,197
County of Hawaii,01-03,US Representative,2,D,"HANNEMANN, Mufi",86,13,61,160
County of Hawaii,01-03,US Representative,2,D,"KIA'AINA, Esther",7,1,4,12
County of Hawaii,01-03,US Representative,2,D,"MARX, Bob",10,2,15,27
County of Hawaii,01-03,US Representative,2,D,"SHIRATORI, Miles",0,0,1,1
County of Hawaii,01-03,State Senate,4,G,"GREENWELL, Kelly",1,0,0,1
County of Hawaii,01-03,State Senate,4,D,"INOUYE, Lorraine Rodero",97,14,104,215
County of Hawaii,01-03,State Senate,4,D,"SOLOMON, Malama",86,9,78,173
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",143,13,112,268
County of Hawaii,01-03,State Representative,1,D,"PAJIMOLA, Noralyn Bolosan",40,10,74,124
County of Hawaii,01-04,US Senator,,R,"CARROLL, John",1,0,0,1
County of Hawaii,01-04,US Senator,,R,"COLLINS, Charles Augustine",0,0,0,0
County of Hawaii,01-04,US Senator,,R,"LINGLE, Linda",7,1,11,19
