"county","precinct","office","district","party","candidate","absentee","early_votes","election_day","votes"
"County of Hawaii","01-01","U.S. Senate","","D","HIRONO, Mazie K.","483","67","265",815
"County of Hawaii","01-01","U.S. Senate","","N","REYES, Arturo Pacheco","1","0","0",1
"County of Hawaii","01-01","U.S. Senate","","N","HAVERTY, Charles (Charlie)","2","0","2",4
"County of Hawaii","01-01","U.S. Senate","","N","MAERTENS, Matthew K.","1","0","1",2
"County of Hawaii","01-01","U.S. Senate","","R","ANDERSON, Consuelo","10","3","7",20
"County of Hawaii","01-01","U.S. Senate","","R","HELSHAM, Robert C., Sr.","0","2","0",2
"County of Hawaii","01-01","U.S. Senate","","R","WHITE, Thomas E.","9","0","3",12
"County of Hawaii","01-01","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","4","0","4",8
"County of Hawaii","01-01","U.S. Senate","","R","CURTIS, Ron","7","0","9",16
"County of Hawaii","01-01","U.S. Senate","","R","HODGKISS, Michael R.","2","1","1",4
"County of Hawaii","01-01","U.S. Senate","","R","BERISH, George L.","2","1","0",3
"County of Hawaii","01-01","U.S. Senate","","R","PIRKOWSKI, Eddie","2","0","0",2
"County of Hawaii","01-01","U.S. House","2","D","AUSTIN, Anthony Tony","5","3","8",16
"County of Hawaii","01-01","U.S. House","2","D","GABBARD, Tulsi","462","61","275",798
"County of Hawaii","01-01","U.S. House","2","D","ALU CAMPAGNA, Sherry","35","9","27",71
"County of Hawaii","01-01","U.S. House","2","R","EVANS, Brian","30","7","17",54
"County of Hawaii","01-01","Governor","","G","BREWER, Jim","0","0","2",2
"County of Hawaii","01-01","Governor","","D","CARAVALHO, Ernest","30","0","11",41
"County of Hawaii","01-01","Governor","","D","KA'EHU'AE'A, Wendell J.","2","3","4",9
"County of Hawaii","01-01","Governor","","D","TANABE, Van (Tanaban)","1","0","0",1
"County of Hawaii","01-01","Governor","","D","IGE, David Y.","215","48","172",435
"County of Hawaii","01-01","Governor","","D","HANABUSA, Colleen Wakako","296","25","134",455
"County of Hawaii","01-01","Governor","","D","KIM, Richard Y.","4","0","3",7
"County of Hawaii","01-01","Governor","","N","TERUYA, Terrence K.","1","0","0",1
"County of Hawaii","01-01","Governor","","N","BLACKWELL, Selina T.","2","0","1",3
"County of Hawaii","01-01","Governor","","N","EL, Link","0","0","1",1
"County of Hawaii","01-01","Governor","","R","TUPOLA, Andria","16","4","18",38
"County of Hawaii","01-01","Governor","","R","CARROLL, John","19","4","6",29
"County of Hawaii","01-01","Governor","","R","LHEUREUX, Ray","3","0","4",7
"County of Hawaii","01-01","Lieutenant Governor","","G","ING, Renee","0","0","2",2
"County of Hawaii","01-01","Lieutenant Governor","","D","GREEN, Josh","230","41","143",414
"County of Hawaii","01-01","Lieutenant Governor","","D","TOKUDA, Jill N.","111","9","48",168
"County of Hawaii","01-01","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","117","13","51",181
"County of Hawaii","01-01","Lieutenant Governor","","D","IWAMOTO, Kim Coco","61","9","59",129
"County of Hawaii","01-01","Lieutenant Governor","","D","ESPERO, Will","16","3","14",33
"County of Hawaii","01-01","Lieutenant Governor","","N","ROBOTTI, Paul F.","2","0","2",4
"County of Hawaii","01-01","Lieutenant Governor","","N","MAGAOAY, Ernest G.","1","0","0",1
"County of Hawaii","01-01","Lieutenant Governor","","R","LIPSCOMB, Steve","13","2","4",19
"County of Hawaii","01-01","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","9","4","15",28
"County of Hawaii","01-01","Lieutenant Governor","","R","LOW, Jeremy","15","2","5",22
"County of Hawaii","01-01","State Senate","4","D","INOUYE, Lorraine Rodero","330","41","151",522
"County of Hawaii","01-01","State Senate","4","D","KIMBALL, Heather L.","204","35","162",401
"County of Hawaii","01-01","State Representative","1","D","NAKASHIMA, Mark M.","364","52","172",588
"County of Hawaii","01-01","State Representative","1","D","PAIK-MANDER, Koohan","160","24","142",326
"County of Hawaii","01-02","U.S. Senate","","D","HIRONO, Mazie K.","163","21","122",306
"County of Hawaii","01-02","U.S. Senate","","N","REYES, Arturo Pacheco","3","0","0",3
"County of Hawaii","01-02","U.S. Senate","","N","HAVERTY, Charles (Charlie)","0","0","0",0
"County of Hawaii","01-02","U.S. Senate","","N","MAERTENS, Matthew K.","0","0","0",0
"County of Hawaii","01-02","U.S. Senate","","R","ANDERSON, Consuelo","1","0","1",2
"County of Hawaii","01-02","U.S. Senate","","R","HELSHAM, Robert C., Sr.","8","0","0",8
"County of Hawaii","01-02","U.S. Senate","","R","WHITE, Thomas E.","0","0","2",2
"County of Hawaii","01-02","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","1","0","2",3
"County of Hawaii","01-02","U.S. Senate","","R","CURTIS, Ron","3","0","2",5
"County of Hawaii","01-02","U.S. Senate","","R","HODGKISS, Michael R.","0","0","1",1
"County of Hawaii","01-02","U.S. Senate","","R","BERISH, George L.","0","0","1",1
"County of Hawaii","01-02","U.S. Senate","","R","PIRKOWSKI, Eddie","0","0","1",1
"County of Hawaii","01-02","U.S. House","2","D","AUSTIN, Anthony Tony","6","1","11",18
"County of Hawaii","01-02","U.S. House","2","D","GABBARD, Tulsi","172","22","100",294
"County of Hawaii","01-02","U.S. House","2","D","ALU CAMPAGNA, Sherry","12","3","22",37
"County of Hawaii","01-02","U.S. House","2","R","EVANS, Brian","13","0","9",22
"County of Hawaii","01-02","Governor","","G","BREWER, Jim","0","0","0",0
"County of Hawaii","01-02","Governor","","D","CARAVALHO, Ernest","5","0","4",9
"County of Hawaii","01-02","Governor","","D","KA'EHU'AE'A, Wendell J.","0","0","1",1
"County of Hawaii","01-02","Governor","","D","TANABE, Van (Tanaban)","2","1","0",3
"County of Hawaii","01-02","Governor","","D","IGE, David Y.","112","19","74",205
"County of Hawaii","01-02","Governor","","D","HANABUSA, Colleen Wakako","85","10","63",158
"County of Hawaii","01-02","Governor","","D","KIM, Richard Y.","0","0","1",1
"County of Hawaii","01-02","Governor","","N","TERUYA, Terrence K.","2","0","0",2
"County of Hawaii","01-02","Governor","","N","BLACKWELL, Selina T.","0","0","0",0
"County of Hawaii","01-02","Governor","","N","EL, Link","1","0","0",1
"County of Hawaii","01-02","Governor","","R","TUPOLA, Andria","6","0","5",11
"County of Hawaii","01-02","Governor","","R","CARROLL, John","5","0","4",9
"County of Hawaii","01-02","Governor","","R","LHEUREUX, Ray","4","0","3",7
"County of Hawaii","01-02","Lieutenant Governor","","G","ING, Renee","0","0","0",0
"County of Hawaii","01-02","Lieutenant Governor","","D","GREEN, Josh","84","17","70",171
"County of Hawaii","01-02","Lieutenant Governor","","D","TOKUDA, Jill N.","38","1","24",63
"County of Hawaii","01-02","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","49","8","16",73
"County of Hawaii","01-02","Lieutenant Governor","","D","IWAMOTO, Kim Coco","26","4","25",55
"County of Hawaii","01-02","Lieutenant Governor","","D","ESPERO, Will","4","0","4",8
"County of Hawaii","01-02","Lieutenant Governor","","N","ROBOTTI, Paul F.","0","0","0",0
"County of Hawaii","01-02","Lieutenant Governor","","N","MAGAOAY, Ernest G.","3","0","0",3
"County of Hawaii","01-02","Lieutenant Governor","","R","LIPSCOMB, Steve","6","0","6",12
"County of Hawaii","01-02","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","7","0","3",10
"County of Hawaii","01-02","Lieutenant Governor","","R","LOW, Jeremy","1","0","2",3
"County of Hawaii","01-02","State Senate","4","D","INOUYE, Lorraine Rodero","121","19","70",210
"County of Hawaii","01-02","State Senate","4","D","KIMBALL, Heather L.","83","10","66",159
"County of Hawaii","01-02","State Representative","1","D","NAKASHIMA, Mark M.","131","20","82",233
"County of Hawaii","01-02","State Representative","1","D","PAIK-MANDER, Koohan","67","9","56",132
"County of Hawaii","01-03","U.S. Senate","","D","HIRONO, Mazie K.","211","38","128",377
"County of Hawaii","01-03","U.S. Senate","","N","REYES, Arturo Pacheco","0","0","0",0
"County of Hawaii","01-03","U.S. Senate","","N","HAVERTY, Charles (Charlie)","0","0","0",0
"County of Hawaii","01-03","U.S. Senate","","N","MAERTENS, Matthew K.","0","0","0",0
"County of Hawaii","01-03","U.S. Senate","","R","ANDERSON, Consuelo","3","0","1",4
"County of Hawaii","01-03","U.S. Senate","","R","HELSHAM, Robert C., Sr.","3","0","1",4
"County of Hawaii","01-03","U.S. Senate","","R","WHITE, Thomas E.","2","0","2",4
"County of Hawaii","01-03","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","2","0","0",2
"County of Hawaii","01-03","U.S. Senate","","R","CURTIS, Ron","4","0","2",6
"County of Hawaii","01-03","U.S. Senate","","R","HODGKISS, Michael R.","0","0","0",0
"County of Hawaii","01-03","U.S. Senate","","R","BERISH, George L.","0","0","0",0
"County of Hawaii","01-03","U.S. Senate","","R","PIRKOWSKI, Eddie","0","0","1",1
"County of Hawaii","01-03","U.S. House","2","D","AUSTIN, Anthony Tony","8","3","5",16
"County of Hawaii","01-03","U.S. House","2","D","GABBARD, Tulsi","200","32","118",350
"County of Hawaii","01-03","U.S. House","2","D","ALU CAMPAGNA, Sherry","24","8","10",42
"County of Hawaii","01-03","U.S. House","2","R","EVANS, Brian","14","0","5",19
"County of Hawaii","01-03","Governor","","G","BREWER, Jim","1","0","0",1
"County of Hawaii","01-03","Governor","","D","CARAVALHO, Ernest","12","1","8",21
"County of Hawaii","01-03","Governor","","D","KA'EHU'AE'A, Wendell J.","2","1","3",6
"County of Hawaii","01-03","Governor","","D","TANABE, Van (Tanaban)","0","0","0",0
"County of Hawaii","01-03","Governor","","D","IGE, David Y.","104","18","71",193
"County of Hawaii","01-03","Governor","","D","HANABUSA, Colleen Wakako","121","23","65",209
"County of Hawaii","01-03","Governor","","D","KIM, Richard Y.","2","0","0",2
"County of Hawaii","01-03","Governor","","N","TERUYA, Terrence K.","0","0","0",0
"County of Hawaii","01-03","Governor","","N","BLACKWELL, Selina T.","0","0","0",0
"County of Hawaii","01-03","Governor","","N","EL, Link","0","0","0",0
"County of Hawaii","01-03","Governor","","R","TUPOLA, Andria","6","0","4",10
"County of Hawaii","01-03","Governor","","R","CARROLL, John","10","0","3",13
