"county","precinct","office","district","party","candidate","absentee","early_votes","election_day","votes"
"County of Hawaii","01-03","Governor","","R","LHEUREUX, Ray","3","0","0",3
"County of Hawaii","01-03","Lieutenant Governor","","G","ING, Renee","1","0","0",1
"County of Hawaii","01-03","Lieutenant Governor","","D","GREEN, Josh","112","18","57",187
"County of Hawaii","01-03","Lieutenant Governor","","D","TOKUDA, Jill N.","43","7","31",81
"County of Hawaii","01-03","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","57","11","23",91
"County of Hawaii","01-03","Lieutenant Governor","","D","IWAMOTO, Kim Coco","18","5","21",44
"County of Hawaii","01-03","Lieutenant Governor","","D","ESPERO, Will","8","1","6",15
"County of Hawaii","01-03","Lieutenant Governor","","N","ROBOTTI, Paul F.","0","0","0",0
"County of Hawaii","01-03","Lieutenant Governor","","N","MAGAOAY, Ernest G.","0","0","0",0
"County of Hawaii","01-03","Lieutenant Governor","","R","LIPSCOMB, Steve","9","0","4",13
"County of Hawaii","01-03","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","5","0","3",8
"County of Hawaii","01-03","Lieutenant Governor","","R","LOW, Jeremy","4","0","1",5
"County of Hawaii","01-03","State Senate","4","D","INOUYE, Lorraine Rodero","142","24","69",235
"County of Hawaii","01-03","State Senate","4","D","KIMBALL, Heather L.","103","19","73",195
"County of Hawaii","01-03","State Representative","1","D","NAKASHIMA, Mark M.","152","23","88",263
"County of Hawaii","01-03","State Representative","1","D","PAIK-MANDER, Koohan","93","16","49",158
"County of Hawaii","01-04","U.S. Senate","","D","HIRONO, Mazie K.","49","17","28",94
"County of Hawaii","01-04","U.S. Senate","","N","REYES, Arturo Pacheco","0","0","1",1
"County of Hawaii","01-04","U.S. Senate","","N","HAVERTY, Charles (Charlie)","1","0","0",1
"County of Hawaii","01-04","U.S. Senate","","N","MAERTENS, Matthew K.","0","0","0",0
"County of Hawaii","01-04","U.S. Senate","","R","ANDERSON, Consuelo","0","0","1",1
"County of Hawaii","01-04","U.S. Senate","","R","HELSHAM, Robert C., Sr.","0","0","0",0
"County of Hawaii","01-04","U.S. Senate","","R","WHITE, Thomas E.","0","1","0",1
"County of Hawaii","01-04","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","2","0","0",2
"County of Hawaii","01-04","U.S. Senate","","R","CURTIS, Ron","1","0","0",1
"County of Hawaii","01-04","U.S. Senate","","R","HODGKISS, Michael R.","0","0","0",0
"County of Hawaii","01-04","U.S. Senate","","R","BERISH, George L.","0","0","0",0
"County of Hawaii","01-04","U.S. Senate","","R","PIRKOWSKI, Eddie","1","0","0",1
"County of Hawaii","01-04","U.S. House","2","D","AUSTIN, Anthony Tony","4","1","2",7
"County of Hawaii","01-04","U.S. House","2","D","GABBARD, Tulsi","41","15","32",88
"County of Hawaii","01-04","U.S. House","2","D","ALU CAMPAGNA, Sherry","14","4","8",26
"County of Hawaii","01-04","U.S. House","2","R","EVANS, Brian","2","1","0",3
"County of Hawaii","01-04","Governor","","G","BREWER, Jim","0","0","0",0
"County of Hawaii","01-04","Governor","","D","CARAVALHO, Ernest","1","1","0",2
"County of Hawaii","01-04","Governor","","D","KA'EHU'AE'A, Wendell J.","3","4","2",9
"County of Hawaii","01-04","Governor","","D","TANABE, Van (Tanaban)","0","0","0",0
"County of Hawaii","01-04","Governor","","D","IGE, David Y.","36","8","28",72
"County of Hawaii","01-04","Governor","","D","HANABUSA, Colleen Wakako","19","8","14",41
"County of Hawaii","01-04","Governor","","D","KIM, Richard Y.","0","0","0",0
"County of Hawaii","01-04","Governor","","N","TERUYA, Terrence K.","0","0","0",0
"County of Hawaii","01-04","Governor","","N","BLACKWELL, Selina T.","0","0","1",1
"County of Hawaii","01-04","Governor","","N","EL, Link","1","0","0",1
"County of Hawaii","01-04","Governor","","R","TUPOLA, Andria","1","1","1",3
"County of Hawaii","01-04","Governor","","R","CARROLL, John","3","0","0",3
"County of Hawaii","01-04","Governor","","R","LHEUREUX, Ray","0","0","1",1
"County of Hawaii","01-04","Lieutenant Governor","","G","ING, Renee","0","0","0",0
"County of Hawaii","01-04","Lieutenant Governor","","D","GREEN, Josh","36","8","23",67
"County of Hawaii","01-04","Lieutenant Governor","","D","TOKUDA, Jill N.","6","7","3",16
"County of Hawaii","01-04","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","5","2","9",16
"County of Hawaii","01-04","Lieutenant Governor","","D","IWAMOTO, Kim Coco","11","0","8",19
"County of Hawaii","01-04","Lieutenant Governor","","D","ESPERO, Will","1","1","0",2
"County of Hawaii","01-04","Lieutenant Governor","","N","ROBOTTI, Paul F.","1","0","1",2
"County of Hawaii","01-04","Lieutenant Governor","","N","MAGAOAY, Ernest G.","0","0","0",0
"County of Hawaii","01-04","Lieutenant Governor","","R","LIPSCOMB, Steve","3","1","0",4
"County of Hawaii","01-04","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","1","0","2",3
"County of Hawaii","01-04","Lieutenant Governor","","R","LOW, Jeremy","0","0","0",0
"County of Hawaii","01-04","State Senate","4","D","INOUYE, Lorraine Rodero","19","11","12",42
"County of Hawaii","01-04","State Senate","4","D","KIMBALL, Heather L.","40","10","32",82
"County of Hawaii","01-04","State Representative","1","D","NAKASHIMA, Mark M.","35","15","20",70
"County of Hawaii","01-04","State Representative","1","D","PAIK-MANDER, Koohan","22","6","19",47
"County of Hawaii","01-05","U.S. Senate","","D","HIRONO, Mazie K.","356","54","215",625
"County of Hawaii","01-05","U.S. Senate","","N","REYES, Arturo Pacheco","0","0","2",2
"County of Hawaii","01-05","U.S. Senate","","N","HAVERTY, Charles (Charlie)","0","0","0",0
"County of Hawaii","01-05","U.S. Senate","","N","MAERTENS, Matthew K.","0","0","0",0
"County of Hawaii","01-05","U.S. Senate","","R","ANDERSON, Consuelo","6","0","4",10
"County of Hawaii","01-05","U.S. Senate","","R","HELSHAM, Robert C., Sr.","6","1","0",7
"County of Hawaii","01-05","U.S. Senate","","R","WHITE, Thomas E.","1","0","1",2
"County of Hawaii","01-05","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","5","1","3",9
"County of Hawaii","01-05","U.S. Senate","","R","CURTIS, Ron","5","1","4",10
"County of Hawaii","01-05","U.S. Senate","","R","HODGKISS, Michael R.","3","0","4",7
"County of Hawaii","01-05","U.S. Senate","","R","BERISH, George L.","2","0","2",4
"County of Hawaii","01-05","U.S. Senate","","R","PIRKOWSKI, Eddie","0","0","1",1
"County of Hawaii","01-05","U.S. House","2","D","AUSTIN, Anthony Tony","12","4","7",23
"County of Hawaii","01-05","U.S. House","2","D","GABBARD, Tulsi","313","52","206",571
"County of Hawaii","01-05","U.S. House","2","D","ALU CAMPAGNA, Sherry","37","10","15",62
"County of Hawaii","01-05","U.S. House","2","R","EVANS, Brian","24","3","14",41
"County of Hawaii","01-05","Governor","","G","BREWER, Jim","1","0","0",1
"County of Hawaii","01-05","Governor","","D","CARAVALHO, Ernest","14","0","8",22
"County of Hawaii","01-05","Governor","","D","KA'EHU'AE'A, Wendell J.","4","3","4",11
"County of Hawaii","01-05","Governor","","D","TANABE, Van (Tanaban)","0","0","1",1
"County of Hawaii","01-05","Governor","","D","IGE, David Y.","161","37","118",316
"County of Hawaii","01-05","Governor","","D","HANABUSA, Colleen Wakako","211","26","114",351
"County of Hawaii","01-05","Governor","","D","KIM, Richard Y.","1","2","4",7
"County of Hawaii","01-05","Governor","","N","TERUYA, Terrence K.","0","0","1",1
"County of Hawaii","01-05","Governor","","N","BLACKWELL, Selina T.","0","0","1",1
"County of Hawaii","01-05","Governor","","N","EL, Link","0","0","0",0
"County of Hawaii","01-05","Governor","","R","TUPOLA, Andria","22","0","9",31
"County of Hawaii","01-05","Governor","","R","CARROLL, John","11","3","11",25
"County of Hawaii","01-05","Governor","","R","LHEUREUX, Ray","4","0","1",5
"County of Hawaii","01-05","Lieutenant Governor","","G","ING, Renee","1","0","0",1
"County of Hawaii","01-05","Lieutenant Governor","","D","GREEN, Josh","182","29","98",309
"County of Hawaii","01-05","Lieutenant Governor","","D","TOKUDA, Jill N.","100","13","63",176
"County of Hawaii","01-05","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","57","9","44",110
"County of Hawaii","01-05","Lieutenant Governor","","D","IWAMOTO, Kim Coco","26","13","28",67
"County of Hawaii","01-05","Lieutenant Governor","","D","ESPERO, Will","18","4","5",27
"County of Hawaii","01-05","Lieutenant Governor","","N","ROBOTTI, Paul F.","0","0","1",1
"County of Hawaii","01-05","Lieutenant Governor","","N","MAGAOAY, Ernest G.","0","0","1",1
"County of Hawaii","01-05","Lieutenant Governor","","R","LIPSCOMB, Steve","12","0","6",18
"County of Hawaii","01-05","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","9","1","10",20
"County of Hawaii","01-05","Lieutenant Governor","","R","LOW, Jeremy","11","2","3",16
"County of Hawaii","01-05","State Senate","4","D","INOUYE, Lorraine Rodero","207","36","131",374
"County of Hawaii","01-05","State Senate","4","D","KIMBALL, Heather L.","169","29","115",313
"County of Hawaii","01-05","State Representative","1","D","NAKASHIMA, Mark M.","265","41","168",474
"County of Hawaii","01-05","State Representative","1","D","PAIK-MANDER, Koohan","112","23","70",205
"County of Hawaii","01-06","U.S. Senate","","D","HIRONO, Mazie K.","261","49","147",457
"County of Hawaii","01-06","U.S. Senate","","N","REYES, Arturo Pacheco","0","0","0",0
"County of Hawaii","01-06","U.S. Senate","","N","HAVERTY, Charles (Charlie)","0","0","0",0
"County of Hawaii","01-06","U.S. Senate","","N","MAERTENS, Matthew K.","0","0","1",1
"County of Hawaii","01-06","U.S. Senate","","R","ANDERSON, Consuelo","13","2","3",18
"County of Hawaii","01-06","U.S. Senate","","R","HELSHAM, Robert C., Sr.","6","0","1",7
"County of Hawaii","01-06","U.S. Senate","","R","WHITE, Thomas E.","1","0","5",6
"County of Hawaii","01-06","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","3","2","0",5
"County of Hawaii","01-06","U.S. Senate","","R","CURTIS, Ron","2","0","4",6
"County of Hawaii","01-06","U.S. Senate","","R","HODGKISS, Michael R.","2","0","0",2
"County of Hawaii","01-06","U.S. Senate","","R","BERISH, George L.","0","0","0",0
"County of Hawaii","01-06","U.S. Senate","","R","PIRKOWSKI, Eddie","0","0","0",0
"County of Hawaii","01-06","U.S. House","2","D","AUSTIN, Anthony Tony","12","1","6",19
"County of Hawaii","01-06","U.S. House","2","D","GABBARD, Tulsi","234","46","143",423
"County of Hawaii","01-06","U.S. House","2","D","ALU CAMPAGNA, Sherry","35","7","20",62
"County of Hawaii","01-06","U.S. House","2","R","EVANS, Brian","20","4","8",32
"County of Hawaii","01-06","Governor","","G","BREWER, Jim","1","0","0",1
"County of Hawaii","01-06","Governor","","D","CARAVALHO, Ernest","10","0","4",14
"County of Hawaii","01-06","Governor","","D","KA'EHU'AE'A, Wendell J.","7","1","12",20
"County of Hawaii","01-06","Governor","","D","TANABE, Van (Tanaban)","2","0","0",2
"County of Hawaii","01-06","Governor","","D","IGE, David Y.","157","29","89",275
"County of Hawaii","01-06","Governor","","D","HANABUSA, Colleen Wakako","137","26","81",244
"County of Hawaii","01-06","Governor","","D","KIM, Richard Y.","1","1","0",2
"County of Hawaii","01-06","Governor","","N","TERUYA, Terrence K.","0","0","0",0
"County of Hawaii","01-06","Governor","","N","BLACKWELL, Selina T.","0","0","1",1
"County of Hawaii","01-06","Governor","","N","EL, Link","0","0","0",0
"County of Hawaii","01-06","Governor","","R","TUPOLA, Andria","9","5","3",17
"County of Hawaii","01-06","Governor","","R","CARROLL, John","12","0","13",25
"County of Hawaii","01-06","Governor","","R","LHEUREUX, Ray","10","0","1",11
"County of Hawaii","01-06","Lieutenant Governor","","G","ING, Renee","1","0","0",1
"County of Hawaii","01-06","Lieutenant Governor","","D","GREEN, Josh","130","20","56",206
"County of Hawaii","01-06","Lieutenant Governor","","D","TOKUDA, Jill N.","84","20","43",147
"County of Hawaii","01-06","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","44","6","38",88
"County of Hawaii","01-06","Lieutenant Governor","","D","IWAMOTO, Kim Coco","33","7","36",76
"County of Hawaii","01-06","Lieutenant Governor","","D","ESPERO, Will","21","2","6",29
"County of Hawaii","01-06","Lieutenant Governor","","N","ROBOTTI, Paul F.","0","0","1",1
"County of Hawaii","01-06","Lieutenant Governor","","N","MAGAOAY, Ernest G.","0","0","0",0
"County of Hawaii","01-06","Lieutenant Governor","","R","LIPSCOMB, Steve","8","1","4",13
"County of Hawaii","01-06","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","12","2","7",21
"County of Hawaii","01-06","Lieutenant Governor","","R","LOW, Jeremy","10","2","3",15
"County of Hawaii","01-06","State Senate","4","D","INOUYE, Lorraine Rodero","168","32","87",287
"County of Hawaii","01-06","State Senate","4","D","KIMBALL, Heather L.","133","24","93",250
"County of Hawaii","01-06","State Representative","1","D","NAKASHIMA, Mark M.","224","38","108",370
"County of Hawaii","01-06","State Representative","1","D","PAIK-MANDER, Koohan","77","16","66",159
"County of Hawaii","01-07","U.S. Senate","","D","HIRONO, Mazie K.","190","68","156",414
"County of Hawaii","01-07","U.S. Senate","","N","REYES, Arturo Pacheco","0","0","0",0
"County of Hawaii","01-07","U.S. Senate","","N","HAVERTY, Charles (Charlie)","1","0","0",1
"County of Hawaii","01-07","U.S. Senate","","N","MAERTENS, Matthew K.","1","0","0",1
"County of Hawaii","01-07","U.S. Senate","","R","ANDERSON, Consuelo","3","0","3",6
"County of Hawaii","01-07","U.S. Senate","","R","HELSHAM, Robert C., Sr.","3","2","0",5
"County of Hawaii","01-07","U.S. Senate","","R","WHITE, Thomas E.","3","0","2",5
"County of Hawaii","01-07","U.S. Senate","","R","DE LA FUENTE, Rocky Mamaka","4","1","3",8
"County of Hawaii","01-07","U.S. Senate","","R","CURTIS, Ron","3","1","4",8
"County of Hawaii","01-07","U.S. Senate","","R","HODGKISS, Michael R.","3","1","1",5
"County of Hawaii","01-07","U.S. Senate","","R","BERISH, George L.","0","0","0",0
"County of Hawaii","01-07","U.S. Senate","","R","PIRKOWSKI, Eddie","0","0","0",0
"County of Hawaii","01-07","U.S. House","2","D","AUSTIN, Anthony Tony","4","4","8",16
"County of Hawaii","01-07","U.S. House","2","D","GABBARD, Tulsi","179","58","144",381
"County of Hawaii","01-07","U.S. House","2","D","ALU CAMPAGNA, Sherry","24","10","19",53
"County of Hawaii","01-07","U.S. House","2","R","EVANS, Brian","21","4","11",36
"County of Hawaii","01-07","Governor","","G","BREWER, Jim","2","0","1",3
"County of Hawaii","01-07","Governor","","D","CARAVALHO, Ernest","9","1","2",12
"County of Hawaii","01-07","Governor","","D","KA'EHU'AE'A, Wendell J.","1","0","3",4
"County of Hawaii","01-07","Governor","","D","TANABE, Van (Tanaban)","0","0","1",1
"County of Hawaii","01-07","Governor","","D","IGE, David Y.","106","34","111",251
"County of Hawaii","01-07","Governor","","D","HANABUSA, Colleen Wakako","112","40","66",218
"County of Hawaii","01-07","Governor","","D","KIM, Richard Y.","0","0","1",1
"County of Hawaii","01-07","Governor","","N","TERUYA, Terrence K.","0","0","0",0
"County of Hawaii","01-07","Governor","","N","BLACKWELL, Selina T.","2","0","0",2
"County of Hawaii","01-07","Governor","","N","EL, Link","0","0","0",0
"County of Hawaii","01-07","Governor","","R","TUPOLA, Andria","10","2","4",16
"County of Hawaii","01-07","Governor","","R","CARROLL, John","12","1","7",20
"County of Hawaii","01-07","Governor","","R","LHEUREUX, Ray","3","2","1",6
"County of Hawaii","01-07","Lieutenant Governor","","G","ING, Renee","2","0","0",2
"County of Hawaii","01-07","Lieutenant Governor","","D","GREEN, Josh","108","31","78",217
"County of Hawaii","01-07","Lieutenant Governor","","D","TOKUDA, Jill N.","42","20","38",100
"County of Hawaii","01-07","Lieutenant Governor","","D","CARVALHO, Bernard P., Jr.","33","10","29",72
"County of Hawaii","01-07","Lieutenant Governor","","D","IWAMOTO, Kim Coco","33","11","34",78
"County of Hawaii","01-07","Lieutenant Governor","","D","ESPERO, Will","11","3","5",19
"County of Hawaii","01-07","Lieutenant Governor","","N","ROBOTTI, Paul F.","1","0","0",1
"County of Hawaii","01-07","Lieutenant Governor","","N","MAGAOAY, Ernest G.","1","0","0",1
"County of Hawaii","01-07","Lieutenant Governor","","R","LIPSCOMB, Steve","5","4","5",14
"County of Hawaii","01-07","Lieutenant Governor","","R","KERNS, Marissa Dipasupil","9","1","5",15
"County of Hawaii","01-07","Lieutenant Governor","","R","LOW, Jeremy","7","0","2",9
"County of Hawaii","01-07","State Senate","1","D","KAHELE, Kaialii","188","66","155",409
"County of Hawaii","01-07","State Senate","1","L","ARIANOFF, Kimberly A.","3","0","0",3
"County of Hawaii","01-07","State Representative","1","D","NAKASHIMA, Mark M.","154","53","125",332
"County of Hawaii","01-07","State Representative","1","D","PAIK-MANDER, Koohan","58","20","47",125
"County of Hawaii","01-08","U.S. Senate","","D","HIRONO, Mazie K.","1061","190","504",1755
"County of Hawaii","01-08","U.S. Senate","","N","REYES, Arturo Pacheco","3","0","0",3
"County of Hawaii","01-08","U.S. Senate","","N","HAVERTY, Charles (Charlie)","1","0","1",2
"County of Hawaii","01-08","U.S. Senate","","N","MAERTENS, Matthew K.","1","0","0",1
"County of Hawaii","01-08","U.S. Senate","","R","ANDERSON, Consuelo","7","2","8",17
"County of Hawaii","01-08","U.S. Senate","","R","HELSHAM, Robert C., Sr.","8","1","0",9
"County of Hawaii","01-08","U.S. Senate","","R","WHITE, Thomas E.","10","2","7",19
