county,precinct,office,district,candidate,party,absentee,early_voting,election_day,votes
Hawaii,01-01,U.S. Senator,,"CURTIS, Ron",R,142,24,153,319
Hawaii,01-01,U.S. Senator,,"HIRONO, Mazie K.",D,541,86,500,1127
Hawaii,01-01,U.S. House,2,"GABBARD, Tulsi",D,574,89,548,1211
Hawaii,01-01,U.S. House,2,"EVANS, Brian",R,98,18,101,217
Hawaii,01-01,Governor and Lieutenant Governor,,BREWER / ING,G,14,2,19,35
Hawaii,01-01,Governor and Lieutenant Governor,,TUPOLA / KERNS,R,208,33,239,480
Hawaii,01-01,Governor and Lieutenant Governor,,TERUYA / ROBOTTI,N,9,2,0,11
Hawaii,01-01,Governor and Lieutenant Governor,,IGE / GREEN,D,448,74,402,924
Hawaii,01-01,Maui Resident Trustee,,"KAPU, Ke'eaumoku",,133,28,160,321
Hawaii,01-01,Maui Resident Trustee,,"LINDSEY, Carmen Hulu",,263,49,282,594
Hawaii,01-01,Oahu Resident Trustee,,"KIA'AINA, Esther",,136,38,171,345
Hawaii,01-01,Oahu Resident Trustee,,"AKAKA, Kalei",,297,43,271,611
Hawaii,01-01,At-Large Trustee,,"AHU ISA, Lei (Leina'ala)",,151,32,153,336
Hawaii,01-01,At-Large Trustee,,"AKANA, Rowena Noelani",,192,34,201,427
Hawaii,01-01,At-Large Trustee,,"LEE, Brendon Kalei'aina",,207,31,165,403
Hawaii,01-01,At-Large Trustee,,"AILA, William J., Jr.",,146,35,121,302
Hawaii,01-01,At-Large Trustee,,"HANOHANO, Faye (Pua)",,253,44,231,528
Hawaii,01-01,At-Large Trustee,,"WAIHEE, John D., IV",,326,41,269,636
Hawaii,01-01,Constitutional Convention,,YES,,171,31,172,374
Hawaii,01-01,Constitutional Convention,,NO,,478,75,444,997
Hawaii,01-01,CON. AMEND.: Public Education and Investment Real Property,,YES,,177,27,204,408
Hawaii,01-01,CON. AMEND.: Public Education and Investment Real Property,,NO,,454,70,346,870
Hawaii,01-01,HAWAI'I: Public Notice and Voting Requirements for the Salary Commission,,YES,,495,87,465,1047
Hawaii,01-01,HAWAI'I: Public Notice and Voting Requirements for the Salary Commission,,NO,,134,19,136,289
Hawaii,01-01,HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter,,YES,,482,89,449,1020
Hawaii,01-01,HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter,,NO,,139,15,150,304
Hawaii,01-02,U.S. Senator,,"CURTIS, Ron",R,65,3,54,122
Hawaii,01-02,U.S. Senator,,"HIRONO, Mazie K.",D,185,28,174,387
Hawaii,01-02,U.S. House,2,"GABBARD, Tulsi",D,202,32,175,409
Hawaii,01-02,U.S. House,2,"EVANS, Brian",R,42,1,46,89
Hawaii,01-02,Governor and Lieutenant Governor,,BREWER / ING,G,7,3,9,19
Hawaii,01-02,Governor and Lieutenant Governor,,TUPOLA / KERNS,R,71,4,74,149
Hawaii,01-02,Governor and Lieutenant Governor,,TERUYA / ROBOTTI,N,4,0,1,5
Hawaii,01-02,Governor and Lieutenant Governor,,IGE / GREEN,D,168,26,145,339
Hawaii,01-02,Maui Resident Trustee,,"KAPU, Ke'eaumoku",,59,9,52,120
Hawaii,01-02,Maui Resident Trustee,,"LINDSEY, Carmen Hulu",,74,10,88,172
Hawaii,01-02,Oahu Resident Trustee,,"KIA'AINA, Esther",,55,9,63,127
Hawaii,01-02,Oahu Resident Trustee,,"AKAKA, Kalei",,88,10,90,188
Hawaii,01-02,At-Large Trustee,,"AHU ISA, Lei (Leina'ala)",,42,8,50,100
Hawaii,01-02,At-Large Trustee,,"AKANA, Rowena Noelani",,73,9,51,133
Hawaii,01-02,At-Large Trustee,,"LEE, Brendon Kalei'aina",,56,10,44,110
Hawaii,01-02,At-Large Trustee,,"AILA, William J., Jr.",,54,15,47,116
Hawaii,01-02,At-Large Trustee,,"HANOHANO, Faye (Pua)",,80,7,76,163
Hawaii,01-02,At-Large Trustee,,"WAIHEE, John D., IV",,98,13,84,195
Hawaii,01-02,Constitutional Convention,,YES,,61,9,46,116
Hawaii,01-02,Constitutional Convention,,NO,,173,22,171,366
