county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-01,U.S. Senator Vacancy,,L,"KOKOSKI, Michael",2,0,3,5
County of Hawaii,01-01,U.S. Senator Vacancy,,R,"CAVASSO, Cam",18,1,21,40
County of Hawaii,01-01,U.S. Senator Vacancy,,R,"FRIEL, Harry J., Jr.",4,1,4,9
County of Hawaii,01-01,U.S. Senator Vacancy,,R,"ROCO, John P.",5,1,6,12
County of Hawaii,01-01,U.S. Senator Vacancy,,R,"PIRKOWSKI, Eddie",4,0,3,7
County of Hawaii,01-01,U.S. Senator Vacancy,,N,"REYES, Arturo Pacheco",0,0,0,0
County of Hawaii,01-01,U.S. Senator Vacancy,,N,"ALLISON, Joy",2,0,0,2
County of Hawaii,01-01,U.S. Senator Vacancy,,D,"EVANS, Brian",9,2,9,20
County of Hawaii,01-01,U.S. Senator Vacancy,,D,"HANABUSA, Colleen Wakako",221,34,171,426
County of Hawaii,01-01,U.S. Senator Vacancy,,D,"SCHATZ, Brian",209,57,218,484
County of Hawaii,01-01,U.S. Representative,2,L,"KENT, Joe",2,0,3,5
County of Hawaii,01-01,U.S. Representative,2,R,"CAPELOUTO, Marissa D.",11,1,7,19
County of Hawaii,01-01,U.S. Representative,2,R,"CROWLEY, Kawika",13,2,20,35
County of Hawaii,01-01,U.S. Representative,2,D,"GABBARD, Tulsi",376,80,320,776
County of Hawaii,01-01,Governor,,L,"DAVIS, Jeff",2,0,3,5
County of Hawaii,01-01,Governor,,I,"HANNEMANN, Mufi",4,0,3,7
County of Hawaii,01-01,Governor,,R,"AIONA, Duke",32,5,32,69
County of Hawaii,01-01,Governor,,R,"COLLINS, Charles (Trump)",1,0,2,3
County of Hawaii,01-01,Governor,,R,"GREGORY, Stuart Todd",0,0,2,2
County of Hawaii,01-01,Governor,,N,"DAVIS, Misty",0,0,0,0
County of Hawaii,01-01,Governor,,N,"MORSE, Richard",0,0,0,0
County of Hawaii,01-01,Governor,,N,"DEJEAN CALDWELL, Khis",0,0,0,0
County of Hawaii,01-01,Governor,,N,"SPATOLA, Joseph R.",0,0,0,0
County of Hawaii,01-01,Governor,,D,"ABERCROMBIE, Neil",170,47,178,395
County of Hawaii,01-01,Governor,,D,"IGE, David Yutaka",253,45,206,504
County of Hawaii,01-01,Governor,,D,"TANABE, Van K. (Tanaban)",12,0,8,20
County of Hawaii,01-01,Lieutenant Governor,,L,"MARLIN, Cynthia (Lahi)",2,0,3,5
County of Hawaii,01-01,Lieutenant Governor,,I,"CHANG, Les",4,0,1,5
County of Hawaii,01-01,Lieutenant Governor,,R,"AHU, Elwin P.",20,3,17,40
County of Hawaii,01-01,Lieutenant Governor,,R,"SUTTON, Warner Kimo",9,1,14,24
County of Hawaii,01-01,Lieutenant Governor,,D,"HEE, Clayton",217,39,166,422
County of Hawaii,01-01,Lieutenant Governor,,D,"PULETASI, Sam",5,1,4,10
County of Hawaii,01-01,Lieutenant Governor,,D,"TSUTSUI, Shan S.",171,41,171,383
County of Hawaii,01-01,Lieutenant Governor,,D,"ZANAKIS, Mary",34,7,25,66
County of Hawaii,01-01,Lieutenant Governor,,D,"SHIRATORI, Miles",4,1,2,7
County of Hawaii,01-01,State Senator,4,L,"SCHILLER, Alain",2,0,3,5
County of Hawaii,01-01,State Senator,4,D,"INOUYE, Lorraine Rodero",236,44,245,525
County of Hawaii,01-01,State Senator,4,D,"SOLOMON, Malama",195,45,144,384
County of Hawaii,01-01,State Representative,1,L,"WEINERT, Eric Drake",2,0,3,5
County of Hawaii,01-01,State Representative,1,D,"NAKASHIMA, Mark M.",391,81,324,796
County of Hawaii,01-02,U.S. Senator Vacancy,,L,"KOKOSKI, Michael",1,0,1,2
County of Hawaii,01-02,U.S. Senator Vacancy,,R,"CAVASSO, Cam",7,3,4,14
County of Hawaii,01-02,U.S. Senator Vacancy,,R,"FRIEL, Harry J., Jr.",0,0,0,0
County of Hawaii,01-02,U.S. Senator Vacancy,,R,"ROCO, John P.",0,0,0,0
County of Hawaii,01-02,U.S. Senator Vacancy,,R,"PIRKOWSKI, Eddie",0,0,0,0
County of Hawaii,01-02,U.S. Senator Vacancy,,N,"REYES, Arturo Pacheco",0,0,0,0
County of Hawaii,01-02,U.S. Senator Vacancy,,N,"ALLISON, Joy",0,0,0,0
County of Hawaii,01-02,U.S. Senator Vacancy,,D,"EVANS, Brian",6,0,3,9
County of Hawaii,01-02,U.S. Senator Vacancy,,D,"HANABUSA, Colleen Wakako",69,20,51,140
County of Hawaii,01-02,U.S. Senator Vacancy,,D,"SCHATZ, Brian",86,9,97,192
County of Hawaii,01-02,U.S. Representative,2,L,"KENT, Joe",1,0,1,2
County of Hawaii,01-02,U.S. Representative,2,R,"CAPELOUTO, Marissa D.",2,2,1,5
County of Hawaii,01-02,U.S. Representative,2,R,"CROWLEY, Kawika",4,1,3,8
County of Hawaii,01-02,U.S. Representative,2,D,"GABBARD, Tulsi",141,25,119,285
County of Hawaii,01-02,Governor,,L,"DAVIS, Jeff",1,0,1,2
County of Hawaii,01-02,Governor,,I,"HANNEMANN, Mufi",4,0,1,5
County of Hawaii,01-02,Governor,,R,"AIONA, Duke",8,3,6,17
County of Hawaii,01-02,Governor,,R,"COLLINS, Charles (Trump)",1,0,0,1
County of Hawaii,01-02,Governor,,R,"GREGORY, Stuart Todd",0,0,0,0
County of Hawaii,01-02,Governor,,N,"DAVIS, Misty",0,0,0,0
County of Hawaii,01-02,Governor,,N,"MORSE, Richard",0,0,0,0
County of Hawaii,01-02,Governor,,N,"DEJEAN CALDWELL, Khis",0,0,0,0
County of Hawaii,01-02,Governor,,N,"SPATOLA, Joseph R.",0,0,0,0
County of Hawaii,01-02,Governor,,D,"ABERCROMBIE, Neil",72,15,68,155
County of Hawaii,01-02,Governor,,D,"IGE, David Yutaka",84,13,79,176
County of Hawaii,01-02,Governor,,D,"TANABE, Van K. (Tanaban)",1,0,5,6
County of Hawaii,01-02,Lieutenant Governor,,L,"MARLIN, Cynthia (Lahi)",1,0,1,2
County of Hawaii,01-02,Lieutenant Governor,,I,"CHANG, Les",0,0,0,0
County of Hawaii,01-02,Lieutenant Governor,,R,"AHU, Elwin P.",5,2,2,9
County of Hawaii,01-02,Lieutenant Governor,,R,"SUTTON, Warner Kimo",1,1,1,3
County of Hawaii,01-02,Lieutenant Governor,,D,"HEE, Clayton",70,14,66,150
County of Hawaii,01-02,Lieutenant Governor,,D,"PULETASI, Sam",3,1,2,6
County of Hawaii,01-02,Lieutenant Governor,,D,"TSUTSUI, Shan S.",68,11,70,149
County of Hawaii,01-02,Lieutenant Governor,,D,"ZANAKIS, Mary",12,2,5,19
County of Hawaii,01-02,Lieutenant Governor,,D,"SHIRATORI, Miles",1,0,3,4
County of Hawaii,01-02,State Senator,4,L,"SCHILLER, Alain",1,0,1,2
County of Hawaii,01-02,State Senator,4,D,"INOUYE, Lorraine Rodero",69,15,90,174
County of Hawaii,01-02,State Senator,4,D,"SOLOMON, Malama",88,13,57,158
County of Hawaii,01-02,State Representative,1,L,"WEINERT, Eric Drake",1,0,1,2
County of Hawaii,01-02,State Representative,1,D,"NAKASHIMA, Mark M.",124,25,124,273
County of Hawaii,01-03,U.S. Senator Vacancy,,L,"KOKOSKI, Michael",1,0,0,1
County of Hawaii,01-03,U.S. Senator Vacancy,,R,"CAVASSO, Cam",4,2,3,9
County of Hawaii,01-03,U.S. Senator Vacancy,,R,"FRIEL, Harry J., Jr.",0,0,3,3
County of Hawaii,01-03,U.S. Senator Vacancy,,R,"ROCO, John P.",4,0,1,5
County of Hawaii,01-03,U.S. Senator Vacancy,,R,"PIRKOWSKI, Eddie",1,0,0,1
County of Hawaii,01-03,U.S. Senator Vacancy,,N,"REYES, Arturo Pacheco",0,0,0,0
