county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-03,U.S. Senate Vacancy,,D,"SCHATZ, Brian",169,38,168,375
County of Hawaii,01-03,U.S. House,2,R,"CROWLEY, Kawika",22,4,32,58
County of Hawaii,01-03,U.S. House,2,D,"GABBARD, Tulsi",181,38,175,394
County of Hawaii,01-03,U.S. House,2,L,"KENT, Joe",5,1,12,18
County of Hawaii,01-03,Governor,,R,AIONA / AHU,53,7,62,122
County of Hawaii,01-03,Governor,,L,DAVIS / MARLIN,7,1,3,11
County of Hawaii,01-03,Governor,,I,HANNEMANN / CHANG,50,9,31,90
County of Hawaii,01-03,Governor,,D,IGE / TSUTSUI,102,29,125,256
County of Hawaii,01-03,State Senate,4,D,"INOUYE, Lorraine Rodero",182,37,171,390
County of Hawaii,01-03,State Senate,4,L,"SCHILLER, Alain",27,7,43,77
County of Hawaii,01-03,State Representative,1,D,"NAKASHIMA, Mark M.",168,33,168,369
County of Hawaii,01-03,State Representative,1,L,"WEINERT, Eric Drake",37,11,48,96
County of Hawaii,01-04,U.S. Senate Vacancy,,R,"CAVASSO, Cam",11,1,20,32
County of Hawaii,01-04,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",1,0,6,7
County of Hawaii,01-04,U.S. Senate Vacancy,,D,"SCHATZ, Brian",32,13,67,112
County of Hawaii,01-04,U.S. House,2,R,"CROWLEY, Kawika",9,0,13,22
County of Hawaii,01-04,U.S. House,2,D,"GABBARD, Tulsi",35,14,73,122
County of Hawaii,01-04,U.S. House,2,L,"KENT, Joe",1,0,5,6
County of Hawaii,01-04,Governor,,R,AIONA / AHU,14,2,24,40
County of Hawaii,01-04,Governor,,L,DAVIS / MARLIN,4,0,5,9
County of Hawaii,01-04,Governor,,I,HANNEMANN / CHANG,2,2,10,14
County of Hawaii,01-04,Governor,,D,IGE / TSUTSUI,25,10,54,89
County of Hawaii,01-04,State Senate,4,D,"INOUYE, Lorraine Rodero",28,11,60,99
County of Hawaii,01-04,State Senate,4,L,"SCHILLER, Alain",11,2,25,38
County of Hawaii,01-04,State Representative,1,D,"NAKASHIMA, Mark M.",25,14,53,92
County of Hawaii,01-04,State Representative,1,L,"WEINERT, Eric Drake",13,0,29,42
County of Hawaii,01-05,U.S. Senate Vacancy,,R,"CAVASSO, Cam",63,19,63,145
County of Hawaii,01-05,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",4,5,21,30
County of Hawaii,01-05,U.S. Senate Vacancy,,D,"SCHATZ, Brian",279,59,325,663
County of Hawaii,01-05,U.S. House,2,R,"CROWLEY, Kawika",46,13,44,103
County of Hawaii,01-05,U.S. House,2,D,"GABBARD, Tulsi",295,66,358,719
County of Hawaii,01-05,U.S. House,2,L,"KENT, Joe",8,3,12,23
County of Hawaii,01-05,Governor,,R,AIONA / AHU,78,25,101,204
County of Hawaii,01-05,Governor,,L,DAVIS / MARLIN,5,1,10,16
County of Hawaii,01-05,Governor,,I,HANNEMANN / CHANG,41,12,49,102
County of Hawaii,01-05,Governor,,D,IGE / TSUTSUI,235,45,261,541
County of Hawaii,01-05,State Senate,4,D,"INOUYE, Lorraine Rodero",277,66,337,680
County of Hawaii,01-05,State Senate,4,L,"SCHILLER, Alain",49,15,61,125
County of Hawaii,01-05,State Representative,1,D,"NAKASHIMA, Mark M.",291,56,316,663
County of Hawaii,01-05,State Representative,1,L,"WEINERT, Eric Drake",52,24,83,159
County of Hawaii,01-06,U.S. Senate Vacancy,,R,"CAVASSO, Cam",56,12,79,147
County of Hawaii,01-06,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",9,4,18,31
County of Hawaii,01-06,U.S. Senate Vacancy,,D,"SCHATZ, Brian",224,60,243,527
County of Hawaii,01-06,U.S. House,2,R,"CROWLEY, Kawika",35,6,67,108
